YEAR,MO,DY,T2M,T2MDEW,T2MWET,QV2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,RH2M,TS
1981,1,1,8.05,1.63,4.83,4.27,0,100.42,4.24,51.38,7.31,51.62,66.94,7.66
1981,1,2,4.99,-1.49,1.75,3.42,0,100.52,3.26,123.56,5.6,124.25,65.75,5.03
1981,1,3,6.89,1.78,4.33,4.39,0.04,99.97,4.95,167.5,7.72,167.75,71.75,6.81
1981,1,4,1.84,-4.52,-1.34,2.69,0,100.6,3.92,139.94,5.84,125.56,65.62,2.4
1981,1,5,2.45,-4.04,-0.8,2.81,0.2,100.29,4.57,136.81,6.67,137.44,63.31,2.61
1981,1,6,6.73,3.15,4.94,4.82,1.51,99.69,4.95,285.5,7.55,285.75,79.5,6.46
1981,1,7,3.98,-1.44,1.26,3.42,0,100.05,2.57,207.56,4.53,207.94,71.56,4.13
1981,1,8,6.62,2.01,4.32,4.46,1.92,99.77,2.43,188.81,4.07,188.94,74.25,6.52
1981,1,9,8.66,5.26,6.96,5.55,0.42,100.2,1.27,124.5,1.95,125.44,80.81,8.42
1981,1,10,7.32,3.01,5.16,4.7,0,100.93,3.32,53.56,4.55,54.69,75.5,7.83
1981,1,11,4.79,-1.17,1.8,3.48,0.04,101.13,4.96,126.69,6.76,126.75,67.12,4.76
1981,1,12,0.19,-5.97,-2.89,2.38,0,101.02,3.09,146.69,5.02,147.31,66.62,0.86
1981,1,13,5.5,1.12,3.31,4.27,0.05,99.65,5.45,232.31,8.73,233.12,76.12,5.26
1981,1,14,5.75,0.07,2.91,3.91,0,99.63,5.27,304.94,7.95,305.62,69.75,5.55
1981,1,15,3.94,-1.43,1.26,3.42,0,100.07,3.44,34.88,5.82,34.81,72,4.05
1981,1,16,1.86,-4.48,-1.31,2.69,0,100.93,5.52,30.81,7.9,31.5,65.62,2.11
1981,1,17,0.33,-7.68,-3.67,2.08,0.02,101.58,3.71,20.81,5.42,21.38,57.56,1.23
1981,1,18,2.2,-4.64,-1.22,2.69,1.67,101.09,1.96,146.62,3.17,146.12,63.38,2.64
1981,1,19,1.88,0.72,1.3,4.03,5.46,99.91,2.89,191.5,3.93,192,91.88,2.17
1981,1,20,4.29,1.54,2.91,4.27,2.45,99.22,2.76,280.56,4.09,280,83.94,4.62
1981,1,21,4.22,1.34,2.78,4.21,1.9,100.13,5.15,330.75,6.93,331.44,82.75,4.61
1981,1,22,6.13,-0.22,2.96,3.72,0,100.12,2.49,282.88,3.66,283.44,68.31,5.44
1981,1,23,7.74,-0.47,3.64,3.72,0.03,99.54,2.45,230.25,3.85,231.38,60,6.41
1981,1,24,9.95,1.94,5.94,4.52,0.06,98.98,4.06,216.94,6.75,217.31,60.44,9.09
1981,1,25,11.16,4.97,8.06,5.49,0,98.68,4.2,244.62,6.03,245.25,68.31,10.38
1981,1,26,11.1,4.5,7.8,5.31,0,98.95,2.66,204.56,4.2,204.75,64.94,10.2
1981,1,27,7.73,0.26,4,3.91,0,99.26,2.84,36.5,4.66,37.44,63.38,7.69
1981,1,28,10.14,5.43,7.79,5.8,0,99.31,4.95,145.56,7.4,146.44,75.88,9.79
1981,1,29,13.97,9.64,11.8,7.63,0.01,99.3,6.39,233.25,9.38,233.81,77.69,13.44
1981,1,30,3.8,-0.38,1.71,3.72,0.01,100.37,5.41,143.88,7.25,144.38,75.62,4.71
1981,1,31,6.47,5.22,5.84,5.8,4.24,99.22,5.59,156.75,7.62,157.62,91.88,6.69
1981,2,1,3.87,-3.81,0.03,3.05,1.54,99.54,6.75,342.19,9.4,342.38,59.69,4.3
1981,2,2,-0.58,-9.58,-5.08,1.77,0,100.91,4.72,274.94,6.64,274.94,52.25,-0.59
1981,2,3,4.11,-4.14,-0.02,2.81,0.03,100.67,4.48,205.81,7.25,206.56,58.62,4.15
1981,2,4,3.09,-1.68,0.7,3.36,1.18,100.77,3.82,100.88,5.59,100.81,72.44,3.26
